,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1058,0.105,-1.007,0.315,-0.313,0.101
mkt-rf,1.0215,0.025,40.86,0.0,0.972,1.071
FX Factor,0.0039,0.004,0.999,0.319,-0.004,0.012
