,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0429,0.071,-0.603,0.547,-0.183,0.097
mkt-rf,0.9827,0.012,84.479,0.0,0.96,1.006
FX Factor,0.001,0.002,0.419,0.675,-0.004,0.005
