,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0377,0.061,-0.622,0.534,-0.157,0.082
mkt-rf,1.0121,0.01,104.666,0.0,0.993,1.031
FX Factor,0.0018,0.002,0.732,0.465,-0.003,0.006
