,coef,std err,t,P>|t|,[0.025,0.975]
const,41.6196,24.189,1.721,0.087,-6.028,89.267
mkt-rf,-5.8797,3.866,-1.521,0.13,-13.494,1.735
FX Factor,-1.6589,0.957,-1.734,0.084,-3.544,0.226
