,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0155,0.142,0.109,0.914,-0.265,0.296
mkt-rf,0.9842,0.023,42.307,0.0,0.938,1.03
FX Factor,-0.0008,0.005,-0.183,0.855,-0.01,0.008
