,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0236,0.093,-0.255,0.799,-0.207,0.159
mkt-rf,1.0002,0.022,45.26,0.0,0.957,1.044
FX Factor,0.0008,0.003,0.226,0.821,-0.006,0.008
